"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"2006-09-16 09:00:00","napa","ca","us","fireball","300.0","3-5 min","Fireball across the  napa sky around 9pm&#44 looked like an airliner on fire but afdter checking nothing reported","2006-10-30 00:00:00","38.2972222","-122.2844444"
"2009-01-01 18:00:00","sheffield (uk/england)","","gb","fireball","300.0","5 minutes","((HOAX??))  triangle formation fire ball lights in the sky","2009-01-10 00:00:00","53.366667","-1.5"
"2003-05-17 23:10:00","houston","tx","us","other","25.0","25 seconds","Several gray spheres moving together in a rolling pattern smooth and silent across the Houston sky","2003-05-27 00:00:00","29.7630556","-95.3630556"
"2007-04-01 00:00:00","lake wales","fl","us","light","900.0","one hour","additional information to previous report on area&#44 also piggyback of another sighting.","2007-11-28 00:00:00","27.9011111","-81.5861111"
"2003-01-04 02:40:00","rosswood (canada)","bc","ca","circle","180.0","approx: 3 mins","HBCCUFO CANADIAN REPORT:  Three large circular white objects hovering.","2003-03-21 00:00:00","54.816667","-128.766667"
"2011-08-26 08:35:00","orlando","fl","us","circle","600.0","10 minutes","Circular UFO sighted hiding behind clouds","2011-10-10 00:00:00","28.5380556","-81.3794444"
"2008-07-13 04:18:00","fenton","mi","us","unknown","25.0","25 seconds","Nocturanal lights following US Spy Satellite.  ((NUFORC Note:  ISS &amp; Space Shuttle??  PD))","2008-08-12 00:00:00","42.7977778","-83.705"
"2005-10-25 00:00:00","colorado (in flight to)","","us","other","240.0","4 minutes","On a commercial flight&#44  over the Colorado mountians&#44 something silver is reflected from the sun in all that wilderness&#33","2009-05-12 00:00:00","39.550051","-105.782067"
"2003-10-18 21:00:00","columbus","in","us","light","300.0","4-5 minutes","Steady&#44 non-flashing&#44 rotating red light moves off to west.","2003-10-31 00:00:00","39.2013889","-85.9213889"
"2004-09-24 20:19:00","strattanville","pa","us","disk","600.0","10 minutes","orange glowing ufo","2004-09-29 00:00:00","41.2022222","-79.3277778"
"2005-08-15 21:30:00","west chester","pa","us","other","20.0","15-20 sec.","Red blinking light circles stationary white light.","2005-09-15 00:00:00","39.8494444","-75.3561111"
"2013-09-17 16:45:00","memphis","tn","us","other","10.0","10 seconds","Metallic forest green with a dark circle around the middle. Seemed to be hovering and looked like a Weber grill without the legs.","2013-09-30 00:00:00","35.1494444","-90.0488889"
"2004-12-14 22:20:00","seattle","wa","us","","2.0","2 seconds","Hi again Mr. Davenport:  I wanted to let you know that I spoke to my brother in law&#44 who is a ferry boat captain on the North Vashon Is","2005-01-11 00:00:00","47.6063889","-122.3308333"
"2006-04-28 18:00:00","south shore","ky","us","cigar","300.0","5 min","UFO over South Shore","2006-05-15 00:00:00","38.7208333","-82.9583333"
"1999-12-20 20:00:00","murrieta","ca","us","light","420.0","7 min","group of red/orange objects over plateau followed car down road","2005-05-24 00:00:00","33.5538889","-117.2130556"
"2012-04-05 11:20:00","sharon","ct","us","light","900.0","15 minutes","Pulsing variable colored lights&#44 large&#44 near communication towers","2012-04-18 00:00:00","41.8791667","-73.4772222"
"2006-09-22 05:30:00","san pedro sula (honduras)","","hn","disk","600.0","10 minutes","Shining object slowly crossing daytime sky disapeared behind a cloud","2006-10-30 00:00:00","15.5","-88.033333"
